Price,ratings,Page number,Original_price,Discount,Brands,processor,number_of_ratings,number_of_reviews,RAM,Storage
34990,3.7,9,57990,39%,ASUS,Intel,39,2,8,512
30990,4.3,9,50990,39%,ASUS,AMD,3197,290,8,512
64990,4.4,9,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,9,56919,31%,DELL,AMD,2013,135,16,512
21799,4.2,9,23990,9%,ASUS,Intel,50,5,8,512
75990,4.5,9,99990,24%,Samsung,Intel,368,42,16,512
53990,4.4,9,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,9,59990,41%,Acer,AMD,2963,309,16,512
46999,4.2,9,54552,13%,HP,AMD,5325,345,8,512
51490,4.2,9,69890,26%,Lenovo,Intel,2615,131,16,512
36390,4.1,9,69990,48%,DELL,Intel,703,51,16,512
36990,4.1,9,48419,23%,HP,AMD,17,4,8,512
34900,4.1,9,53413,34%,HP,AMD,663,36,8,512
66990,4.4,9,98990,32%,ASUS,Qualcomm,703,51,16,512
65990,4.3,9,81201,18%,HP,Intel,458,33,16,512
37890,4.1,9,62990,39%,Lenovo,AMD,1726,154,16,512
39990,4.1,9,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,9,52115,30%,HP,Intel,2057,125,8,512
52199,4.5,9,59899,12%,HP,AMD,1859,177,8,512
66990,4.4,9,98990,32%,ASUS,Intel,126,5,16,512
41990,4.4,9,64990,35%,MSI,AMD,4820,540,16,512
63990,4.4,9,90490,29%,Lenovo,AMD,891,66,24,512
64990,4.4,10,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,10,56919,31%,DELL,AMD,2013,135,16,512
32490,3.5,10,65000,50%,HP,AMD,26,1,16,512
59990,4.4,10,92990,35%,ASUS,Qualcomm,703,51,16,512
53990,4.4,10,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,10,59990,41%,Acer,AMD,2963,309,16,512
72990,4.4,10,110990,34%,ASUS,Intel,152,12,16,512
23990,3.8,10,30001,20%,HP,Intel,1556,139,4,512
64990,4.3,10,87990,26%,ASUS,Intel,34,3,16,512
26490,4.0,10,44990,41%,HP,AMD,277,19,8,256
34900,4.1,10,53413,34%,HP,AMD,663,36,8,512
66990,4.4,10,98990,32%,ASUS,Qualcomm,703,51,16,512
45990,4.2,10,73990,37%,ASUS,Intel,8719,484,16,512
67990,4.2,10,87262,22%,HP,Intel,708,37,16,512
39990,4.1,10,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,10,52115,30%,HP,Intel,2057,125,8,512
37999,4.3,10,50990,25%,ASUS,Intel,339,29,8,512
82990,4.1,10,96958,14%,HP,Intel,317,34,16,512
49950,4.0,10,76990,35%,Lenovo,Intel,47,4,16,512
34990,4.3,10,49990,30%,ASUS,Intel,2717,163,8,512
38990,4.2,10,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,10,93990,47%,MOTOROLA,Intel,1825,198,16,512
51990,4.1,10,55691,6%,HP,AMD,292,19,16,512
14999,4.4,10,19990,24%,ASUS,Intel,10,3,4,512
34990,4.1,11,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,11,92390,29%,Samsung,Qualcomm,1534,126,16,512
29980,4.0,11,39990,25%,Lenovo,AMD,227,20,8,512
13490,4.7,11,23990,43%,Primebook,MediaTek,22,9,4,512
52191,3.9,11,69990,25%,Acer,Intel,31,0,16,512
30990,4.2,11,47990,35%,MSI,Intel,85,10,8,512
50990,4.1,11,62190,18%,DELL,Intel,62,3,16,512
38990,4.3,11,56919,31%,DELL,AMD,2013,135,16,512
79990,4.4,11,116990,31%,ASUS,Intel,35,2,16,512
45990,4.2,11,74990,38%,ASUS,Intel,1298,88,16,512
53990,4.4,11,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,11,53413,34%,HP,AMD,663,36,8,512
57799,4.3,11,62526,7%,HP,Intel,8131,371,16,512
37790,4.2,11,70990,46%,DELL,Intel,172,11,16,512
34990,4.2,11,49422,29%,DELL,Intel,445,33,8,512
75990,4.5,11,99990,24%,Samsung,Intel,368,42,16,512
66990,4.4,11,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,11,50903,21%,HP,Intel,2057,125,16,512
36990,4.2,11,50990,27%,ASUS,AMD,935,49,8,512
40990,4.4,11,74990,45%,ASUS,AMD,3000,249,8,512
35990,4.1,11,52115,30%,HP,Intel,2057,125,8,512
38990,4.2,11,54479,28%,DELL,Intel,399,30,16,512
58990,4.2,11,114990,48%,ASUS,Intel,168,9,32,512
71990,4.4,11,102990,30%,ASUS,Qualcomm,703,51,16,512
89100,4.2,12,96136,7%,HP,AMD,735,54,16,512
63990,4.4,12,86990,26%,ASUS,Intel,680,50,16,512
64990,4.4,12,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,12,56919,31%,DELL,AMD,2013,135,16,512
40990,4.4,12,55990,26%,MSI,Intel,355,35,8,512
62990,4.0,12,97999,35%,Acer,Intel,171,16,16,512
53990,4.4,12,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,12,59990,41%,Acer,AMD,2963,309,16,512
50899,4.5,12,65622,22%,HP,Intel,37,2,8,512
34990,4.0,12,49990,30%,Lenovo,AMD,417,24,8,512
98594,4.5,12,137988,28%,Samsung,Intel,51,5,16,512
34990,4.2,12,51990,32%,MSI,Intel,85,10,16,512
34900,4.1,12,53413,34%,HP,AMD,663,36,8,512
66990,4.4,12,98990,32%,ASUS,Qualcomm,703,51,16,512
38088,4.3,12,51266,25%,HP,Intel,6492,377,8,512
23447,3.8,12,32990,28%,ASUS,Intel,2997,259,8,512
39990,4.1,12,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,12,52115,30%,HP,Intel,2057,125,8,512
34990,4.2,12,49422,29%,DELL,Intel,445,33,8,512
51990,4.2,12,83743,37%,Lenovo,Intel,1863,141,16,512
51990,4.4,12,81990,36%,ASUS,Qualcomm,356,33,16,512
16490,3.0,12,35990,54%,Ultimus,Intel,4,0,8,256
38990,4.2,12,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,12,93990,47%,MOTOROLA,Intel,1825,198,16,512
39990,3.9,13,54552,26%,HP,AMD,87,4,8,512
79990,4.4,13,116990,31%,ASUS,Intel,35,2,16,512
72990,4.3,13,98040,25%,DELL,Intel,197,21,16,512
64990,4.4,13,92390,29%,Samsung,Qualcomm,1534,126,16,512
42990,4.2,13,69990,38%,ASUS,Intel,8719,484,8,512
33990,4.3,13,44990,24%,HP,AMD,310,46,8,512
29490,4.1,13,42990,31%,Lenovo,AMD,127,11,8,512
66990,4.4,13,98990,32%,ASUS,Intel,126,5,16,512
50990,4.1,13,62190,18%,DELL,Intel,62,3,16,512
38990,4.2,13,54479,28%,DELL,Intel,399,30,16,512
56990,4.1,13,70990,19%,Lenovo,Intel,1608,135,16,512
16699,3.6,13,25990,35%,Thomson,Intel,58,14,4,128
38990,4.3,13,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,13,92990,41%,ASUS,Qualcomm,703,51,16,512
71990,4.1,13,96990,25%,ASUS,Intel,703,51,16,512
42990,4.2,13,57990,25%,MSI,Intel,10,1,8,512
73990,4.0,13,114999,35%,Acer,Intel,171,16,16,512
62990,4.3,13,85990,26%,ASUS,Intel,503,32,16,512
34990,4.1,13,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,13,53413,34%,HP,AMD,663,36,8,512
38199,4.2,13,50843,24%,HP,Intel,572,36,8,512
50490,4.1,13,64382,21%,DELL,Intel,24,1,16,512
66990,4.4,13,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,13,52115,30%,HP,Intel,2057,125,8,512
71990,4.2,14,98990,27%,MSI,Intel,32,6,16,512
47990,4.0,14,64999,26%,HP,Intel,125,6,8,512
44949,4.1,14,55000,18%,HP,Intel,16,2,8,512
28990,3.8,14,44990,35%,HP,Intel,124,6,8,512
64990,4.4,14,92390,29%,Samsung,Qualcomm,1534,126,16,512
53990,4.4,14,92990,41%,ASUS,Qualcomm,703,51,16,512
46490,4.3,14,65973,29%,DELL,Intel,389,19,8,512
29490,4.1,14,42990,31%,Lenovo,AMD,127,11,8,512
34990,4.1,14,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,14,53413,34%,HP,AMD,663,36,8,512
73990,4.0,14,114999,35%,Acer,Intel,171,16,16,512
65990,4.4,14,86990,24%,ASUS,AMD,2795,150,16,512
72990,4.3,14,105090,30%,Lenovo,Intel,1398,92,16,512
36990,4.0,14,70990,47%,Acer,Intel,47,11,16,512
66990,4.4,14,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,14,50903,21%,HP,Intel,2057,125,16,512
30990,4.3,14,54990,43%,ASUS,Intel,7075,509,8,512
34990,4.4,14,61990,43%,ASUS,AMD,4425,478,8,512
35990,4.1,14,52115,30%,HP,Intel,2057,125,8,512
44490,4.2,14,70990,37%,Lenovo,Intel,493,28,16,512
53242,3.9,14,69000,22%,DELL,Intel,73,9,16,512
34344,4.0,14,55990,38%,DELL,Intel,63,2,16,512
112990,4.1,14,132590,14%,Lenovo,AMD,17,3,24,512
38990,4.1,14,70990,45%,DELL,Intel,30,3,16,512
72990,4.3,15,98040,25%,DELL,Intel,197,21,16,512
38990,4.3,15,56919,31%,DELL,AMD,2013,135,16,512
35990,4.0,15,72990,50%,Lenovo,Intel,90,4,16,512
33290,4.4,15,44990,26%,MSI,Intel,1518,163,8,512
64990,4.4,15,92390,29%,Samsung,Qualcomm,1534,126,16,512
50990,4.1,15,62190,18%,DELL,Intel,62,3,16,512
37790,4.2,15,70990,46%,DELL,Intel,172,11,16,512
19900,3.9,15,35990,44%,DELL,Intel,108,10,4,256
36490,4.2,15,57790,36%,Lenovo,Intel,416,22,16,512
12900,3.9,15,25000,48%,Jio,MediaTek,52,3,4,512
53990,4.4,15,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,15,59990,41%,Acer,AMD,2963,309,16,512
33735,4.2,15,43990,23%,HP,Intel,991,74,8,512
40490,4.2,15,52765,23%,DELL,Intel,399,30,16,512
34900,4.1,15,53413,34%,HP,AMD,663,36,8,512
66990,4.4,15,98990,32%,ASUS,Qualcomm,703,51,16,512
99990,4.6,15,120928,17%,HP,AMD,169,15,24,512
37899,3.9,15,59990,36%,Thomson,Intel,174,59,16,512
27990,4.0,15,27999,41%,HP,AMD,1775,130,4,256
35990,4.1,15,50843,29%,HP,Intel,45,4,8,512
38990,4.2,15,54479,28%,DELL,Intel,399,30,16,512
35990,4.1,15,52115,30%,HP,Intel,2057,125,8,512
51990,4.3,15,62990,17%,HP,Intel,3992,275,16,512
87990,4.5,15,109990,20%,Samsung,Intel,202,29,16,512
38990,4.3,16,56919,31%,DELL,AMD,2013,135,16,512
64990,4.4,16,92390,29%,Samsung,Qualcomm,1534,126,16,512
49099,4.1,16,89999,45%,WINGS,Intel,131,25,16,512
48990,4.1,16,79990,38%,DELL,Intel,9,0,16,512
59990,4.5,16,91999,34%,Acer,Qualcomm,112,24,16,512
20499,3.8,16,32990,37%,ASUS,Intel,3406,293,4,512
53990,4.4,16,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,16,59990,41%,Acer,AMD,2963,309,16,512
66799,4.3,16,75990,12%,MSI,Intel,728,66,16,512
32100,4.3,16,44586,28%,ASUS,AMD,1618,151,8,512
34900,4.1,16,53413,34%,HP,AMD,663,36,8,512
66990,4.4,16,98990,32%,ASUS,Qualcomm,703,51,16,512
51990,3.9,16,63023,17%,HP,AMD,7,0,8,512
78490,4.2,16,89000,11%,Lenovo,Intel,543,63,16,512
55990,4.3,16,75990,26%,ASUS,AMD,1814,130,16,512
67390,4.0,16,107999,37%,Lenovo,Intel,503,61,16,512
35990,4.1,16,52115,30%,HP,Intel,2057,125,8,512
39990,4.1,16,50903,21%,HP,Intel,2057,125,16,512
47800,4.3,16,62990,24%,ASUS,Intel,234,26,8,512
76990,4.2,16,95990,19%,ASUS,Intel,65,6,16,512
38990,4.2,16,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,16,93990,47%,MOTOROLA,Intel,1825,198,16,512
17990,3.8,16,33399,46%,Acer,Intel,6774,603,8,256
48990,4.4,16,65990,25%,HP,Intel,867,81,8,512
79990,4.4,17,111690,28%,Lenovo,Intel,42,7,16,512
65990,3.8,17,91699,28%,Lenovo,Intel,10,0,16,512
34990,4.1,17,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,17,92390,29%,Samsung,Qualcomm,1534,126,16,512
157990,4.6,17,191099,17%,HP,Intel,5,0,24,512
69990,4.3,17,99999,30%,Acer,Intel,280,26,16,512
38990,4.3,17,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,17,92990,41%,ASUS,Qualcomm,703,51,16,512
55990,4.3,17,75990,26%,ASUS,AMD,1814,130,16,512
33990,4.1,17,59990,43%,MSI,Intel,66,9,8,512
37990,4.4,17,47990,20%,MSI,Intel,1518,163,16,512
40800,4.1,17,51355,20%,DELL,Intel,213,14,8,512
34900,4.1,17,53413,34%,HP,AMD,663,36,8,512
66990,4.4,17,98990,32%,ASUS,Qualcomm,703,51,16,512
49990,4.2,17,66990,25%,ASUS,AMD,37,1,16,512
65990,4.4,17,92110,28%,HP,Intel,1380,90,16,512
39990,4.1,17,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,17,52115,30%,HP,Intel,2057,125,8,512
52680,3.8,17,69797,24%,DELL,Intel,37,4,8,512
67199,4.4,17,77190,12%,HP,Intel,414,58,8,512
36890,4.2,17,51990,29%,HP,Intel,7326,577,8,512
42990,4.2,17,57990,25%,MSI,Intel,10,1,8,512
38990,4.2,17,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,17,70990,37%,Lenovo,Intel,493,28,16,512
78990,4.0,18,106308,25%,HP,AMD,41,4,16,512
17990,3.8,18,33399,46%,Acer,Intel,6774,603,8,256
34990,4.1,18,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,18,92390,29%,Samsung,Qualcomm,1534,126,16,512
57599,4.0,18,81999,29%,ZEBRONICS,Intel,242,26,16,512
60374,4.1,18,72990,17%,Acer,Intel,703,51,16,512
89990,4.5,18,129990,30%,ASUS,Intel,37,1,16,512
38990,4.3,18,54990,29%,ASUS,Intel,2717,163,16,512
38990,4.3,18,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,18,92990,41%,ASUS,Qualcomm,703,51,16,512
37490,4.2,18,75000,50%,HP,Intel,95,7,16,512
32990,3.9,18,45000,26%,HP,AMD,101,5,16,512
34900,4.1,18,53413,34%,HP,AMD,663,36,8,512
66990,4.4,18,98990,32%,ASUS,Qualcomm,703,51,16,512
76990,4.4,18,102990,25%,DELL,Intel,19,2,16,512
72990,4.4,18,89990,18%,Lenovo,AMD,891,66,24,512
37549,3.9,18,45995,18%,HP,Intel,220,13,8,512
43490,4.3,18,96990,55%,Lenovo,Intel,102,8,8,512
39990,4.1,18,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,18,52115,30%,HP,Intel,2057,125,8,512
39497,4.0,18,85299,53%,HP,Intel,102,4,16,512
34727,4.4,18,74990,53%,HP,Intel,14,2,8,512
38990,4.2,18,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,18,70990,37%,Lenovo,Intel,493,28,16,512
